5.412626925995533966e-03,6.101610546272784319e-03,6.912971663911249287e-03,7.879864288293347840e-03,9.047598402827095043e-03
5.047513339347942107e-03,5.608062523651424769e-03,6.253106068514258098e-03,7.002051334238812430e-03,7.879851465545484324e-03
4.713241250694943929e-03,5.165546503994367100e-03,5.675240484412924502e-03,6.253126978839396166e-03,6.912936250926482451e-03
4.406307101602391363e-03,4.766984273587349108e-03,5.165591651531298290e-03,5.608057630131280114e-03,6.101612781523879647e-03
4.123701210454799870e-03,4.406321952817537912e-03,4.713248791690882733e-03,5.047509503681268939e-03,5.412642165616432521e-03
3.862695250355985266e-03,4.078744376055709608e-03,4.309585187822873031e-03,4.556596228112552716e-03,4.821423137430391748e-03
3.621100095022811161e-03,3.780108622959077458e-03,3.947400825628277765e-03,4.123682503729408921e-03,4.309555148034549532e-03
3.396941810435705200e-03,3.506979534692811207e-03,3.621092484752619356e-03,3.739604522855488611e-03,3.862688338111763819e-03
3.188533833782591920e-03,3.256349547752335205e-03,3.325819077976244209e-03,3.396946826040414535e-03,3.469867031319795458e-03
2.994392121818179042e-03,3.025823693728169062e-03,3.057599400383304022e-03,3.089758379000495658e-03,3.122291765433882205e-03
2.813193660453516820e-03,2.813193660453516820e-03,2.813193660453516820e-03,2.813193660453516820e-03,2.813193660453516820e-03
